//资源出处，网络收集，所有内容仅自己供学习使用，请勿商业用途!
//

📡永久免费👉公告,#genre#
💝最后更新时间,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=32uxDEx32SeCJvhZj9cAjMLfayP17pnzLY&token=cpn-androidmpro-0-20415-b6774b3b3249db1768f0ac048c5ed218ac54e1f82b04b2bf&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
💝2024年08月24日,http://39.134.67.2:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/1.m3u8
💝菜单选择清除缓存退出软件,http://tc-tct.douyucdn2.cn/dyliveflv1a/85894rmovieChow_2000p.m3u8
💝重新打开软件自动更新节目,http://39.134.67.2:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/1.m3u8
💝资源均来自网络,http://43.138.170.29:35455/douyu/315457
💝请勿作商业用途,http://159.75.85.63:35455/douyu/4246519
💝请勿购买,http://zby.xjqxz.top/dsdsj1/live.m3u8
💝谨防受骗,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
💝如果付款,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8
💝说明上当,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
💝申请退款,http://zby.xjqxz.top/dsdsj2/live.m3u8
👉👉把家里路由器,http://zby.xjqxz.top/dsdsj3/live.m3u8
👉👉换成支持IPV6,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000296/index.m3u8?IAS
👉👉支持所有线路,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
👉👉尽情享受超清,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1/85894rmovieChow_900p.m3u8



🇨🇳央卫V4,#genre#
福建卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227156/index.m3u8
厦门卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/index.m3u8
海峡卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227198/index.m3u8
漳州新闻综合,rtsp://183.252.176.54/PLTV/88888888/224/3221226728/45553461.smil
福建综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227149/index.m3u8
福建新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227180/index.m3u8
福建电视剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227079/index.m3u8
福建乡村,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227153/index.m3u8
福建经济,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227184/index.m3u8
福建体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227188/index.m3u8
